,id,text,created_at,retweets,replies,likes,lang,score,norm_score,politican,rank,links,classification category,classification source,open in twitter [yes/no],verified from twitter only [yes/no],translated_text,toxicity score,inflammatory score
0,1513220890334433282,Thank you to all Pakistanis for their amazing outpouring of support &amp; emotions to protest against US-backed regime change abetted by local Mir Jafars to bring into power a coterie of pliable crooks all out on bail. Shows Pakistanis at home &amp; abroad have emphatically rejected this,2022-04-10T18:22:29.000Z,75337,40116,309862,en,134707.7274261603,1.0,ImranKhanPTI,Top 10%,,,,,,Thank you to all Pakistanis for their amazing outpouring of support &amp; Emotions to protest against US-backed regime change abetted by local Mir Jafars to bring into power a coterie of pliable crooks all out on bail. Shows Pakistanis at home &amp; Abroad have emphatically rejected this,0.32236105,0.80582464
1,1513232489464041473,"Never have such crowds come out so spontaneously and in such numbers in our history, rejecting the imported govt led by crooks. https://t.co/YWrvD1u8MM",2022-04-10T19:08:34.000Z,94619,24147,297878,en,134174.958649789,0.9960450021201392,ImranKhanPTI,Top 10%,https://t.co/YWrvD1u8MM,social media,twitter,yes,yes,"Never have such crowds come out so spontaneously and in such numbers in our history, rejecting the imported government led by crooks. https://t.co/YWrvD1u8MM",0.39231625,0.5680319
2,1513244887285522433,"میں نے اپنی ملکی تاریخ میں اس سے پہلے اتنی بڑی تعداد میں لوگوں کو خود سے باہر نکلتے نہیں دیکھا جو ڈاکوؤں کی امپورٹڈ حکومت کو مسترد کرنے کیلئے آج نکلے۔
https://t.co/YWrvD1u8MM",2022-04-10T19:57:50.000Z,75082,32327,274736,ur,121820.6894514768,0.9043333428533449,ImranKhanPTI,Top 10%,https://t.co/YWrvD1u8MM,social media,twitter,yes,yes,"Never before in the history of our country have I seen such a large number of people coming out of themselves as they came out today to reject the imported government of robbers.
https://t.co/YWrvD1u8MM",0.30427247,0.43930945
3,1513110768266330115,Pakistan became an independent state in 1947; but the freedom struggle begins again today against a foreign conspiracy of regime change. It is always the people of the country who defend their sovereignty &amp; democracy.,2022-04-10T11:04:54.000Z,70116,32834,267681,en,117862.7502109705,0.8749516635975957,ImranKhanPTI,Top 10%,,,,,,Pakistan became an independent state in 1947; but the freedom struggle begins again today against a foreign conspiracy of regime change. It is always the people of the country who defend their sovereignty &amp; democracy.,0.057005897,0.26469076
4,1514916156670607367,"My request to all those attending our jalsa in Karachi is to carry our Pakistan flag as this is now a fight for Pakistan's sovereignty &amp; haqeeqi (real) democracy, &amp; against US-instigated regime change, supported by local Mir Jafars. #امپورٹڈ_حکومت_نامنظور",2022-04-15T10:38:52.000Z,83677,22492,194015,en,98319.2016877637,0.7298705394733729,ImranKhanPTI,Top 10%,,,,,,"My request to all those attending our jalsa in Karachi is to carry our Pakistan flag as this is now a fight for Pakistan's sovereignty &amp; haqeeqi (real) democracy, &amp; against US-instigated regime change, supported by local Mir Jafars. #imported_government_disapproved",0.112746716,0.32315496
5,1521331161905221637,"Eid Mubarak to Pakistanis both here and abroad. InshaAllah, next Eid we will be on the road to Haqeeqi Azadi.",2022-05-03T03:29:48.000Z,53263,28354,212302,en,93219.02531645569,0.6920094867427219,ImranKhanPTI,Top 10%,,,,,,"Eid Mubarak to Pakistanis both here and abroad. InshaAllah, next Eid we will be on the road to Haqeeqi Azadi.",0.16678599,0.42435235
6,1517351481992785920,Thank you Lahore for the massive support &amp; the biggest jalsa in my 26 years in politics; and the most responsive and passionate audience. #امپورٹڈ_حکومت_نامنظور https://t.co/T9UC6x16xm,2022-04-22T03:55:58.000Z,70103,18203,193393,en,91369.38818565401,0.6782787441480511,ImranKhanPTI,Top 10%,https://t.co/T9UC6x16xm,social media,twitter,yes,no,Thank you Lahore for the massive support &amp; the biggest jalsa in my 26 years in politics; and the most responsive and passionate audience. #imported_government_disapproved https://t.co/T9UC6x16xm,0.018723432,0.09098685
7,1513243211719872515,یکجہتی کےاظہار+امریکی حمایت سےمقامی میرجعفروں کے بل پرحکومت بدلنے+ضمانتوں پررہا ڈاکوؤں کےبےحمیت ٹولےکواقتدار دلوانےکیخلاف جذبات سےبھرپوراحتجاج کیلئےبڑی تعدادمیں نکلنےپرمیں اہلِ پاکستان کامشکور ہوں۔اس سےثابت ہوتاہےکہ ملک وبیرونِ ملک مقیم پاکستانیوں نےاسےپوری شدت سےمستردکردیاہے,2022-04-10T19:51:11.000Z,51109,17972,204029,ur,86791.19324894514,0.644292609691003,ImranKhanPTI,Top 10%,,,,,,I am grateful to the people of Pakistan for coming out in large numbers to express their solidarity + to change the government on the bill of the local Mir Jafars with American support + to give power to a ruthless band of dacoits on bail.,0.3389984,0.70790136
8,1513112992379977733,یوں تو پاکستان 1947 میں ایک آزاد ریاست بنا مگر تبدیلئ اقتدار کی ایک بیرونی سازش کیخلاف آزادی کی ازسرِ نو جدوجہد کا آج نکتۂ آغاز ہے۔ ہمیشہ یہ کسی ملک کے عوام ہی ہوا کرتے ہیں جو اپنی خودمختاری اور جمہوریت کا تحفظ و دفاع کرتے ہیں۔,2022-04-10T11:13:44.000Z,47570,21173,196837,ur,84171.78059071729,0.624847454551973,ImranKhanPTI,Top 10%,,,,,,"Thus, Pakistan became an independent state in 1947, but the change of power is the starting point of the renewed struggle for freedom against an external conspiracy. It is always the people of a country who protect and defend their sovereignty and democracy.",0.022846194,0.09298039
9,1513569606186635264,"On Wednesday I will be holding a jalsa in Peshawar after Isha - my first jalsa after being removed through a foreign- instigated regime change. I want all our people to come, as Pakistan was created as an independent, sovereign state not as a puppet state of foreign powers.",2022-04-11T17:28:09.000Z,47219,17570,198225,en,83370.07257383966,0.6188959918393601,ImranKhanPTI,Top 10%,,,,,,"On Wednesday I will be holding a jalsa in Peshawar after Isha - my first jalsa after being removed through a foreign-instigated regime change. I want all our people to come, as Pakistan was created as an independent, sovereign state not as a puppet state of foreign powers.",0.23343207,0.5680319
