,id,text,created_at,retweets,replies,likes,lang,score,norm_score,politican,rank,links,classification category,classification source,open in twitter [yes/no],verified from twitter only [yes/no],translated_text,toxicity score,inflammatory score
0,1525361215702179841,RT @elonmusk: The bots are angry at being counted 🤣,2022-05-14T06:23:48.000Z,58250,0,0,en,59755.73933477946,1.0,MaryamNSharif,Top 10%,,,,,,RT @elonmusk: The bots are angry at being counted 🤣,0.09915545,0.43302724
1,1517769272927395842,RT @shazbkhanzdaGEO: فاشسٹ لیڈرکی کہانی جس نےنوجوانوں سےخودمختاری اورمعاشی ترقی کاوعدہ کیا،قوم نےاس پربھروسہ کیا۔اس لیڈرنے مخالفین کوجیل می…,2022-04-23T07:36:08.000Z,14062,0,0,ur,14425.4971077368,0.2414077253218884,MaryamNSharif,Top 10%,,,,,,"RT @shazbkhanzdaGEO: The story of a fascist leader who promised youth autonomy and economic development, the nation trusted him. This leader jailed opponents…",0.23523538,0.7279288
2,1529489221891035139,RT @OfficialDGISPR: Pakistan strongly condemns life sentence awarded to Yasin Malik on fabricated charges. Such oppressive tactics cannot d…,2022-05-25T15:47:01.000Z,12200,0,0,en,12515.36514822849,0.2094420600858369,MaryamNSharif,Top 10%,,,,,,RT @OfficialDGISPR: Pakistan strongly condemns life sentence awarded to Yasin Malik on fabricated charges. Such oppressive tactics cannot d…,0.0969861,0.5680319
3,1533800958538706944,RT @OfficialDGISPR: Pakistan Armed Forces strongly condemn blasphemous remarks by Indian officials.The outrageous act is deeply hurtful and…,2022-06-06T13:20:19.000Z,11964,0,0,en,12273.26464208243,0.2053905579399141,MaryamNSharif,Top 10%,,,,,,RT @OfficialDGISPR: Pakistan Armed Forces strongly condemn blasphemous remarks by Indian officials. The outrageous act is deeply hurtful and…,0.14950264,0.36058223
4,1550829849123618820,اگر انصاف کے ایوان بھی دھونس، دھمکی،بدتمیزی اور گالیوں کےدباؤ میں آ کر بار بار ایک ہی بنچ کے ذریعے مخصوص فیصلے کرتےہیں،اپنے ہی دیے فیصلوں کی نفی کرتے ہیں،سارا وزن ترازو کے ایک ہی پلڑے میں ڈال دیتے ہیں تو ایسے یکطرفہ فیصلوں کے سامنے سر جھکانے کی توقع ہم سے نا رکھی جائے۔بہت ہو گیا!,2022-07-23T13:07:03.000Z,11288,12212,29184,ur,11044.75524222704,0.1848317059613167,MaryamNSharif,Top 10%,,,,,,"If the House of Justice also comes under the pressure of bullying, threats, rudeness and insults and repeatedly makes specific decisions through the same bench, negates its own decisions, puts all the weight in the same scale, then such unilateralism We should not be expected to bow our heads in front of the decisions. Enough is enough!",0.16158698,0.1528233
5,1510598805108195332,RT @NawazSharifMNS: اقتدار کی ہوس میں ڈوبے ھوۓ جنونی شخص نے آج آئین کو پاؤں تلے روندا۔ اپنی انا کو ملک و قوم پر مقدم رکھنے والے عمران خان ا…,2022-04-03T12:43:15.000Z,9317,0,0,ur,9557.840744757772,0.1599484978540772,MaryamNSharif,Top 10%,,,,,,"RT @NawazSharifMNS: A fanatic in his lust for power will trample the Constitution under his feet today. Imran Khan, who put his ego before the country and the nation...",0.295883,0.708398
6,1548703414909079553,مسلم لیگ ن کو کھلے دل سے نتائج تسلیم کرنا چاہییں۔ عوام کے فیصلے کے سامنے سر جھکانا چاہیے۔ سیاست میں ہار جیت ہوتی رہتی ہے۔ دل بڑا کرنا چاہیے۔ جہاں جہاں کمزوریاں ہیں، ان کی نشاندہی کر کے انھیں دور کرنے کے لیے  محنت کرنی چاہیے۔ انشاءاللّہ خیر ہو گی۔,2022-07-17T16:17:22.000Z,9719,25060,56447,ur,8916.770516992043,0.1492203195250609,MaryamNSharif,Top 10%,,,,,,"PML-N should openly accept the results. One should bow before the decision of the people. In politics, there are always wins and losses. The heart should be enlarged. Wherever there are weaknesses, efforts should be made to identify them and overcome them. God willing, it will be fine.",0.011623607,0.43225628
7,1528776322553679873,RT @NawazSharifMNS: عوام کو ان فتنہ پرور شرپسند جتھوں کے رحم و کرم پر نہیں چھوڑا جا سکتا جو پہلے ہی ان پر غربت، مہنگائی اور بیروزگاری کے پہ…,2022-05-23T16:34:13.000Z,8311,0,0,ur,8525.836044830077,0.1426781115879828,MaryamNSharif,Top 10%,,,,,,"RT @NawazSharifMNS: The people cannot be left at the mercy of these mischievous miscreants who have already inflicted poverty, inflation and unemployment on them.",0.30539915,0.7081104
8,1550830191601238016,موجودہ سیاسی انتشار اور عدم استحکام کا سلسلہ اس عدالتی فیصلے سے شروع ہوتا ہے جس کے ذریعے آئین کی من مانی تشریح کرتے ہوئے اپنی مرضی سے ووٹ دینے والوں کے ووٹ نہ گننے کا حکم جاری ہوا ۔آج اس کی ایک نئی تشریح کی جا رہی ہے تاکہ اب بھی اسی لاڈلے کو فائدہ پہچنے جسے کل پہنچا تھا!نا منظور!,2022-07-23T13:08:25.000Z,8394,6752,21399,ur,8247.135484454084,0.1380141150668356,MaryamNSharif,Top 10%,,,,,,"The current series of political chaos and instability begins with this court decision, through which an arbitrary interpretation of the constitution was issued to not count the votes of those who voted voluntarily. Today, a new interpretation is being made. To still benefit the same ladle who arrived yesterday! Disapproved!",0.11171334,0.10398714
9,1517870855912837121,"RT @OmarIffat: عمران خان کے خلاف کوئی عورت بولے تو بدکردار. 
مرد بولے تو غدار. 
صحافی بولے تو لفافہ. 
ادارہ بولے تو کرپٹ. 
عمران خان کی چور…",2022-04-23T14:19:47.000Z,7678,0,0,ur,7876.473246565436,0.1318111587982833,MaryamNSharif,Top 10%,,,,,,"RT @OmarIffat: A woman who speaks against Imran Khan is a criminal.
Men are traitors.
If the journalist speaks, the envelope.
The institution is corrupt.
Thief of Imran Khan",0.5885171,0.7252183
